DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 22,@ PHI,W 10-2,5.0,5,2,2,1,3,5,8,7,84,24,51,W(6-8),-,4.29
Jul 12,vs LAD,L 3-2,6.1,3,2,2,0,3,5,7,9,101,24,61,L(5-8),-,4.32
Jul 7,@ ARI,L 20-5,2.0,7,8,8,1,2,2,4,7,64,15,10,L(5-7),-,4.41
Jul 1,vs PIT,L 7-5,5.0,7,7,7,3,3,0,11,10,79,24,22,L(5-6),-,3.78
Jun 26,@ TEX,W 3-2,6.0,5,2,2,2,3,5,4,14,100,27,56,-,-,3.32
Jun 21,@ SF,L 3-0,7.0,4,1,1,0,3,3,9,12,101,27,65,L(5-5),-,3.34
Jun 14,@ ATL,L 4-2,6.0,3,3,3,1,1,4,10,6,93,23,57,L(5-4),-,3.51
Jun 9,@ MIA,W 5-4,5.1,6,4,3,1,2,7,4,10,83,23,47,-,-,3.43
Jun 3,vs CIN,W 6-3,5.0,7,2,2,1,2,3,7,11,91,23,46,W(5-3),-,3.31
May 29,vs MIA,W 9-5,5.1,6,3,3,0,1,4,10,6,87,21,47,-,-,3.29
May 23,@ WSH,W 3-1,6.2,5,1,1,1,1,9,4,12,110,26,-,W(4-3),-,3.13
May 18,@ PIT,W 3-2,6.0,5,2,2,0,4,2,12,8,100,27,52,W(3-3),-,3.35
May 12,vs STL,W 2-1,6.0,3,1,1,0,2,7,7,7,100,24,67,-,-,3.40
May 7,vs WSH,L 8-5,6.0,6,5,5,2,3,6,5,13,107,27,43,L(2-3),-,3.67
May 1,@ SF,W 3-2,6.0,4,1,1,0,3,9,7,6,102,25,66,-,-,3.03
Apr 25,@ COL,L 5-2,4.0,5,4,3,0,3,7,3,8,94,21,-,L(2-2),-,3.34
Apr 20,@ ARI,W 4-1,7.2,1,1,1,0,3,10,5,9,127,27,-,-,-,2.81
Apr 13,vs SF,W 5-1,6.0,7,1,0,0,1,5,11,9,100,27,60,W(2-1),-,3.50
Apr 8,@ HOU,L 4-1,6.0,6,4,4,2,0,7,10,7,107,24,51,L(1-1),-,5.25
Apr 3,vs COL,W 8-4,6.0,5,3,3,0,3,2,11,8,81,24,49,W(1-0),-,4.50
