DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,vs PIT,L 13-10,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 1,vs PIT,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 1,vs PIT,L 8-6,Did not play
Apr 2,vs KC,W 6-1,3,0,2,1,0,0,3,0,0,0,0,.167,.273,.440,.182
Apr 3,vs KC,L 1-0,3,0,1,0,0,0,0,0,0,0,0,.200,.286,.486,.214
Apr 5,@ CHW,W 9-7,4,0,3,1,0,0,2,1,0,0,0,.350,.444,.794,.333
Apr 7,@ CHW,W 6-1,3,1,0,0,0,0,0,1,2,0,0,.360,.381,.741,.286
Apr 8,@ CHW,W 1-0,Did not play
Apr 9,@ CLE,L 2-0,3,0,1,0,0,0,0,0,1,0,0,.357,.375,.732,.292
Apr 10,@ CLE,L 2-1,3,0,0,0,0,0,0,1,0,0,0,.344,.333,.677,.259
Apr 11,@ CLE,L 5-1,2,0,0,0,0,0,0,1,0,0,0,.343,.310,.653,.241
Apr 12,@ CLE,L 9-3,5,0,1,0,0,0,0,0,1,0,0,.325,.294,.619,.235
Apr 13,vs NYY,L 8-6,4,1,2,2,0,0,1,0,0,0,0,.341,.368,.709,.263
Apr 17,vs BAL,W 4-2,4,1,3,0,0,1,2,0,0,0,0,.375,.476,.851,.310
Apr 18,vs BAL,W 6-5,4,0,1,0,0,0,0,0,0,0,0,.365,.457,.822,.304
Apr 19,vs BAL,W 13-8,5,0,2,1,0,0,1,0,1,0,0,.368,.471,.839,.314
Apr 20,vs KC,W 3-2,4,0,0,0,0,0,0,0,0,0,0,.344,.436,.780,.291
Apr 20,vs KC,L 3-2,3,0,0,0,0,0,0,1,0,0,0,.338,.414,.752,.276
Apr 21,vs KC,W 12-4,4,1,1,0,0,0,1,0,0,0,0,.329,.403,.732,.274
Apr 22,vs KC,L 8-5,4,0,0,0,0,0,0,0,2,0,0,.311,.379,.690,.258
Apr 25,@ PIT,W 13-10,0,0,0,0,0,0,0,1,0,0,0,.320,.379,.699,.258
Apr 25,@ PIT,L 8-3,1,0,0,0,0,0,0,0,0,0,0,.316,.373,.689,.254
Apr 26,@ PIT,L 1-0,1,0,0,0,0,0,0,0,0,0,0,.312,.368,.680,.250
Apr 27,@ BAL,L 6-0,3,0,0,0,0,0,0,1,1,0,0,.309,.352,.661,.239
Apr 28,@ BAL,W 9-5,5,1,1,0,0,1,1,0,0,0,0,.302,.382,.684,.237
Apr 29,@ BAL,L 5-3,2,0,0,0,0,0,0,2,1,0,0,.311,.372,.683,.231
Apr 30,vs TB,L 3-2,4,0,1,0,0,0,2,0,0,0,0,.309,.366,.675,.232
May 1,vs TB,W 2-1,4,0,0,0,0,0,0,0,0,0,0,.296,.349,.645,.221
May 2,vs TB,W 3-2,4,0,1,0,0,0,0,0,0,0,0,.294,.344,.638,.222
May 3,@ KC,L 10-6,Did not play
May 4,@ KC,L 4-2,3,0,3,0,0,0,0,1,0,0,0,.321,.366,.687,.247
May 5,@ KC,W 3-2,4,1,2,1,0,0,1,1,0,0,0,.333,.381,.714,.258
May 6,@ KC,L 4-2,4,0,1,0,0,0,0,0,1,0,0,.330,.376,.706,.257
May 7,@ TEX,L 7-6,5,0,1,0,0,0,2,0,1,0,0,.325,.368,.693,.255
May 8,@ TEX,W 7-4,4,1,1,0,0,1,2,0,0,0,0,.323,.391,.714,.255
May 9,@ TEX,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.320,.387,.707,.252
May 12,vs SEA,W 4-3,Did not play
May 12,vs SEA,L 9-5,5,0,0,0,0,0,0,0,1,0,0,.308,.371,.679,.241
May 13,vs SEA,W 5-4,4,0,0,0,0,0,0,0,1,0,0,.299,.358,.657,.233
May 14,vs CLE,W 6-3,3,0,0,0,0,0,0,1,0,0,0,.297,.350,.647,.228
May 15,vs CLE,W 9-8,3,0,0,0,0,0,0,1,1,0,0,.296,.341,.637,.222
May 16,vs CLE,L 6-0,Did not play
May 17,@ SEA,W 3-2,4,0,2,0,0,0,0,0,0,0,0,.301,.346,.647,.231
May 18,@ SEA,L 5-4,3,1,1,1,0,0,1,1,0,0,0,.307,.353,.660,.233
May 19,@ SEA,L 7-2,3,1,1,0,0,1,1,0,0,0,0,.307,.375,.682,.235
May 20,@ SEA,L 3-2,1,0,1,0,0,0,0,0,0,0,0,.312,.380,.692,.241
May 21,@ MIN,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.304,.369,.673,.234
May 22,@ MIN,L 6-0,4,0,1,0,0,0,0,0,0,0,0,.302,.366,.668,.234
May 23,@ MIN,W 4-1,3,1,2,0,0,0,1,0,0,0,0,.307,.372,.679,.243
May 25,vs CHW,W 5-4,4,0,0,0,0,0,1,0,0,0,0,.300,.362,.662,.237
May 26,vs CHW,L 8-4,4,0,2,0,0,0,0,0,0,0,0,.305,.365,.670,.244
May 27,vs CHW,W 3-2,3,1,1,0,0,0,0,1,0,0,0,.309,.365,.674,.245
May 28,vs LAA,W 9-3,Did not play
May 29,vs LAA,L 9-2,4,0,2,0,0,0,0,0,1,0,0,.313,.368,.681,.252
May 30,vs LAA,W 6-1,4,1,1,0,0,0,0,1,0,0,0,.316,.365,.681,.251
May 31,vs LAA,W 6-2,Did not play
Jun 1,vs TOR,W 5-2,4,1,1,0,0,0,0,0,1,0,0,.314,.363,.677,.251
Jun 2,vs TOR,W 7-4,4,0,1,1,0,0,0,0,0,0,0,.313,.366,.679,.251
Jun 3,vs TOR,L 8-4,Did not play
Jun 4,vs NYY,L 7-4,1,0,0,0,0,0,0,0,1,0,0,.311,.364,.675,.250
Jun 4,vs NYY,W 4-2,3,0,2,1,0,0,1,1,0,0,0,.320,.374,.694,.257
Jun 5,@ BOS,L 6-0,4,0,0,0,0,0,0,0,1,0,0,.314,.366,.680,.251
Jun 6,@ BOS,L 7-1,3,0,0,0,0,0,0,1,0,0,0,.313,.360,.673,.247
Jun 7,@ BOS,W 7-2,4,0,0,0,0,0,0,1,2,0,0,.310,.353,.663,.242
Jun 8,vs CLE,L 4-1,4,0,1,0,0,0,0,0,0,0,0,.309,.351,.660,.242
Jun 9,vs CLE,W 4-2,3,0,2,0,0,0,1,0,0,0,0,.314,.355,.669,.249
Jun 10,vs CLE,L 9-2,4,0,0,0,0,0,0,0,1,0,0,.308,.348,.656,.244
Jun 12,vs MIN,L 6-4,5,1,1,0,0,0,0,0,0,0,0,.306,.345,.651,.243
Jun 13,vs MIN,W 5-2,4,0,0,0,0,0,0,0,0,0,0,.300,.338,.638,.238
Jun 14,vs MIN,W 3-1,4,0,2,0,0,0,0,0,0,0,0,.304,.341,.645,.243
Jun 15,@ CHW,W 4-3,5,0,1,1,0,0,2,0,0,0,0,.302,.342,.644,.242
Jun 16,@ CHW,W 7-5,4,0,3,0,0,0,0,0,1,0,0,.309,.350,.659,.251
Jun 17,@ CHW,W 3-1,4,0,0,0,0,0,0,0,0,0,0,.304,.344,.648,.247
Jun 19,@ CIN,L 9-5,Did not play
Jun 20,@ CIN,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.303,.342,.645,.246
Jun 22,@ CLE,L 10-0,3,0,0,0,0,0,0,0,1,0,0,.299,.338,.637,.242
Jun 23,@ CLE,L 4-1,4,0,1,0,0,0,0,0,1,0,0,.298,.336,.634,.243
Jun 24,@ CLE,L 12-2,3,1,1,0,0,0,0,0,0,0,0,.299,.336,.635,.244
Jun 25,vs OAK,L 5-4,4,0,2,0,0,0,0,0,1,0,0,.302,.339,.641,.248
Jun 26,vs OAK,L 9-7,5,0,0,0,0,0,0,0,1,0,0,.296,.332,.628,.243
Jun 27,vs OAK,L 3-0,2,0,0,0,0,0,0,2,0,0,0,.299,.329,.628,.241
Jun 28,vs OAK,L 4-2,4,0,1,0,0,0,0,0,0,0,0,.299,.328,.627,.241
Jun 29,@ TOR,L 3-2,4,0,2,0,0,0,0,0,0,0,0,.301,.331,.632,.245
Jun 30,@ TOR,L 4-3,4,0,0,0,0,0,0,0,0,0,0,.297,.326,.623,.241
Jul 1,@ TOR,W 9-1,4,0,0,0,0,0,0,0,0,0,0,.293,.321,.614,.238
Jul 2,@ TOR,W 3-2,4,0,1,0,0,0,1,0,1,0,0,.293,.320,.613,.238
Jul 3,@ CHC,L 5-3,Did not play
Jul 4,@ CHC,L 5-2,1,0,1,0,0,0,0,0,0,0,0,.295,.322,.617,.241
Jul 5,vs TEX,L 7-5,4,0,1,0,0,0,0,0,1,0,0,.294,.321,.615,.241
Jul 6,vs TEX,W 3-1,3,0,1,0,0,0,0,0,0,0,0,.295,.321,.616,.242
Jul 7,vs TEX,W 7-2,3,1,1,0,0,0,0,1,1,0,0,.297,.321,.618,.243
Jul 8,vs TEX,L 3-0,Did not play
