DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 24,vs HOU,L 8-2,1.1,4,5,5,1,1,1,2,5,26,9,-,L(0-3),-,4.61
Jul 21,@ ARI,W 6-5,1.0,1,0,0,0,1,2,2,0,19,5,-,-,Sv(28),3.63
Jul 14,vs SEA,W 4-1,1.0,0,0,0,0,0,1,1,1,14,3,-,-,Sv(27),3.72
Jul 13,vs SEA,W 10-7,1.0,0,0,0,0,0,1,1,1,13,3,-,-,Sv(26),3.82
Jul 12,vs ARI,W 5-1,1.0,0,0,0,0,0,1,1,1,10,3,-,-,-,3.93
Jul 7,@ SEA,W 5-1,1.0,0,0,0,0,0,0,2,1,14,3,-,-,-,4.04
Jul 4,vs SF,W 1-0,1.0,1,0,0,0,1,1,1,2,21,5,-,-,Sv(25),4.15
Jul 2,vs SF,W 5-2,1.0,1,0,0,0,0,2,0,2,18,4,-,-,Sv(24),4.28
Jun 29,@ LAD,W 3-1,1.0,1,1,1,1,0,2,0,2,15,4,-,-,Sv(23),4.41
Jun 28,@ SF,W 9-8,1.0,0,0,0,0,0,1,0,2,12,3,-,-,Sv(22),4.26
Jun 24,vs MIA,L 8-5,1.0,0,0,0,0,0,1,2,0,9,3,-,-,-,4.40
Jun 20,vs NYM,W 10-8,1.0,1,0,0,0,0,0,3,1,12,4,-,-,Sv(21),4.55
Jun 19,vs NYM,W 10-8,1.0,1,2,1,0,1,1,3,0,19,5,-,-,-,4.71
Jun 17,@ TEX,L 13-12,0.1,2,4,4,0,4,0,0,3,38,7,-,L(0-2),BlSv(4),4.55
Jun 15,@ TEX,W 9-5,1.0,0,0,0,0,1,0,1,1,12,3,-,-,-,3.29
Jun 7,@ CIN,L 7-5,1.0,1,1,1,0,0,3,1,0,25,5,-,-,BlSv(3),3.42
Jun 6,@ CIN,W 6-3,1.0,1,0,0,0,0,1,1,2,13,4,-,-,Sv(20),3.20
Jun 5,@ CIN,W 9-6,0.1,0,0,0,0,0,1,0,0,3,1,-,-,Sv(19),3.33
Jun 3,vs LAD,L 10-7,1.0,3,3,3,1,1,1,1,4,38,7,-,L(0-1),-,3.38
May 28,vs SF,W 6-5,1.0,0,0,0,0,2,0,2,1,27,6,-,-,-,2.35
May 27,vs CIN,W 8-2,0.2,0,0,0,0,0,0,0,1,1,1,-,-,-,2.45
May 25,vs CIN,W 5-4,1.0,0,0,0,0,0,2,0,1,13,3,-,-,Sv(18),2.53
May 21,@ LAD,W 2-1,1.0,1,0,0,0,0,1,1,1,13,3,-,-,Sv(17),2.66
May 17,@ SF,W 5-3,1.0,0,0,0,0,2,1,0,2,18,5,-,-,Sv(16),2.79
May 14,@ SD,W 6-4,1.0,0,0,0,0,1,0,2,1,11,4,-,-,Sv(15),2.95
May 12,vs MIL,W 4-0,1.0,1,0,0,0,0,2,1,1,16,4,-,-,-,3.12
May 11,vs MIL,L 11-10,1.0,2,2,2,1,0,1,2,2,19,5,-,-,BlSv(2),3.31
May 8,vs LAA,W 4-2,1.0,1,0,0,0,0,0,3,0,12,3,-,-,Sv(14),2.35
May 5,@ NYM,W 2-0,1.0,0,0,0,0,0,0,2,1,13,3,-,-,Sv(13),2.51
May 4,@ NYM,W 8-7,1.0,2,1,1,0,1,2,0,3,29,6,-,-,Sv(12),2.70
May 1,@ CHC,W 3-1,1.0,0,0,0,0,1,2,0,1,15,4,-,-,Sv(11),2.19
Apr 27,@ MIA,W 1-0,1.0,1,0,0,0,1,2,1,1,24,5,-,-,Sv(10),2.38
Apr 25,vs SD,W 5-2,1.0,1,1,1,0,0,2,2,0,24,4,-,-,-,2.61
Apr 21,vs CHC,W 5-2,1.0,0,0,0,0,0,0,1,2,7,3,-,-,Sv(9),1.93
Apr 17,@ PIT,W 2-0,1.0,0,0,0,0,0,1,0,2,13,3,-,-,Sv(8),2.16
Apr 15,@ WSH,W 6-5,1.0,0,0,0,0,1,0,1,2,20,4,-,-,Sv(7),2.45
Apr 13,@ WSH,W 2-1,1.0,0,0,0,0,0,2,1,0,20,3,-,-,Sv(6),2.84
Apr 11,vs SD,W 6-4,1.0,0,0,0,0,0,2,0,1,8,3,-,-,Sv(5),3.38
Apr 7,vs ATL,W 3-2,1.0,2,1,1,0,1,1,2,2,16,6,-,-,BlSv(1),4.15
Apr 5,@ SD,W 3-1,1.0,1,1,1,1,0,2,1,1,17,4,-,-,Sv(4),2.70
Apr 4,@ SD,W 5-2,1.0,0,0,0,0,1,0,1,1,15,3,-,-,Sv(3),0.00
Apr 2,@ SD,W 7-4,0.1,0,0,0,0,0,0,0,1,4,1,-,-,Sv(2),0.00
Mar 31,@ ARI,W 2-1,1.0,0,0,0,0,0,2,0,1,16,3,-,-,Sv(1),0.00
