DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ MIA,W 8-4,5,0,1,1,0,0,1,0,3,0,0,.200,.400,.600,.200
Mar 30,@ MIA,L 2-1,7,0,1,0,0,0,0,1,2,0,0,.231,.250,.481,.167
Mar 31,@ MIA,W 10-6,5,1,2,0,0,0,0,0,2,0,0,.278,.294,.572,.235
Apr 1,@ MIA,L 6-0,Did not play
Apr 2,@ CIN,L 1-0,4,0,0,0,0,0,0,0,1,0,0,.227,.238,.465,.190
Apr 5,@ MIL,W 8-0,4,1,3,1,0,0,0,1,0,0,0,.333,.360,.693,.280
Apr 6,@ MIL,L 5-4,3,1,1,0,0,0,0,0,0,0,0,.355,.357,.712,.286
Apr 7,@ MIL,W 5-2,4,0,0,0,0,0,0,1,2,0,0,.333,.313,.646,.250
Apr 8,@ MIL,W 3-0,3,0,2,1,1,0,0,0,0,0,0,.375,.429,.804,.286
Apr 10,vs PIT,L 8-5,4,1,3,1,0,0,0,0,0,0,0,.409,.487,.896,.333
Apr 11,vs PIT,W 13-5,4,0,1,1,0,0,0,1,1,0,0,.408,.488,.896,.326
Apr 12,vs PIT,L 6-1,Did not play
Apr 13,vs ATL,L 4-0,4,0,0,0,0,0,0,0,0,0,0,.377,.447,.824,.298
Apr 14,vs ATL,W 14-10,5,1,1,0,0,0,2,0,1,0,0,.362,.423,.785,.288
Apr 17,vs STL,L 5-3,4,0,1,0,0,0,0,0,1,0,0,.365,.411,.776,.286
Apr 19,vs STL,W 8-5,4,0,1,0,0,0,0,0,1,0,0,.368,.400,.768,.283
Apr 20,@ COL,W 16-5,5,1,1,1,0,0,1,0,1,0,0,.356,.400,.756,.277
Apr 21,@ COL,L 5-2,4,0,1,1,0,0,2,0,0,0,0,.351,.406,.757,.275
Apr 22,@ COL,W 9-7,0,0,0,0,0,0,0,1,0,0,0,.359,.406,.765,.275
Apr 24,@ CLE,W 10-3,4,1,1,0,0,1,1,1,1,0,0,.361,.438,.799,.274
Apr 25,@ CLE,L 4-1,4,0,1,1,0,0,0,0,0,0,0,.356,.442,.798,.273
