DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 30,@ CIN,W 2-0,Did not play
Mar 31,@ CIN,W 13-7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
Apr 1,@ CIN,W 6-5,3,1,1,0,0,0,0,1,0,1,0,.500,.333,.833,.333
Apr 2,@ ATL,W 8-1,4,1,1,1,0,0,0,1,2,0,0,.444,.429,.873,.286
Apr 3,@ ATL,L 13-6,1,0,0,0,0,0,0,0,0,0,0,.400,.375,.775,.250
Apr 4,@ ATL,L 7-1,3,0,0,0,0,0,0,1,2,0,0,.357,.273,.630,.182
Apr 5,vs NYM,L 8-2,2,0,0,0,0,0,0,0,1,0,0,.313,.231,.544,.154
Apr 7,vs NYM,L 3-2,Did not play
Apr 8,vs NYM,L 6-5,2,0,1,1,0,0,0,0,1,0,0,.333,.333,.666,.200
Apr 9,vs ATL,W 2-0,0,0,0,0,0,0,0,1,0,0,0,.368,.333,.701,.200
Apr 10,vs ATL,W 4-1,4,2,2,1,0,0,0,0,0,0,1,.391,.421,.812,.263
Apr 11,vs ATL,L 5-3,1,0,1,0,0,0,0,0,0,0,0,.417,.450,.867,.300
Apr 12,vs COL,L 5-1,1,0,0,0,0,0,0,0,1,0,0,.400,.429,.829,.286
Apr 13,vs COL,L 2-1,3,0,0,0,0,0,0,1,1,0,0,.379,.375,.754,.250
Apr 14,vs COL,W 6-2,4,1,2,0,0,0,1,0,2,0,0,.394,.393,.787,.286
Apr 15,vs COL,L 6-5,5,0,0,0,0,0,0,0,1,0,0,.342,.333,.675,.242
Apr 16,@ NYM,W 8-6,4,0,2,0,0,0,2,0,1,1,0,.357,.351,.708,.270
Apr 17,@ NYM,W 5-2,3,0,1,0,0,0,1,0,0,0,0,.356,.350,.706,.275
Apr 18,@ NYM,L 11-5,3,0,0,0,0,0,0,0,1,0,0,.333,.326,.659,.256
Apr 20,@ LAD,W 5-2,3,0,0,0,0,0,1,1,0,0,0,.327,.304,.631,.239
Apr 21,@ LAD,L 4-0,3,0,0,0,0,0,0,0,2,0,0,.309,.286,.595,.224
Apr 22,@ LAD,L 4-3,2,0,1,0,0,0,0,2,0,0,0,.339,.294,.633,.235
Apr 23,@ SF,L 4-2,4,0,0,0,0,0,0,0,0,0,0,.317,.273,.590,.218
Apr 24,@ SF,L 4-3,2,0,0,0,0,0,0,0,0,0,0,.308,.263,.571,.211
Apr 25,@ SF,W 15-2,5,2,1,0,0,0,1,1,0,0,0,.310,.258,.568,.210
Apr 27,vs ARI,L 5-4,3,0,0,0,0,0,1,0,1,0,0,.293,.246,.539,.200
Apr 28,vs ARI,L 4-3,1,0,1,0,0,0,0,0,0,0,0,.303,.258,.561,.212
