DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ TB,L 6-4,4,2,3,2,0,0,0,0,0,0,0,.750,1.250,2.000,.750
Mar 30,@ TB,W 1-0,4,1,2,2,0,0,0,0,0,0,0,.625,1.125,1.750,.625
Mar 31,@ TB,W 3-2,4,1,3,1,0,1,2,0,0,0,0,.667,1.333,2.000,.667
Apr 1,@ TB,W 2-1,5,0,0,0,0,0,0,0,2,0,0,.471,.941,1.412,.471
Apr 2,@ MIA,W 7-3,5,1,2,0,0,0,0,0,1,0,0,.455,.818,1.273,.455
Apr 3,@ MIA,W 4-2,6,0,0,0,0,0,0,0,2,0,0,.357,.643,1.000,.357
Apr 5,vs TB,W 3-2,4,0,1,1,0,0,1,1,1,0,0,.364,.625,.989,.344
Apr 7,vs TB,W 10-3,3,2,2,1,0,1,6,1,1,0,0,.405,.743,1.148,.371
Apr 8,vs TB,W 8-7,3,0,1,0,0,0,0,0,0,0,0,.400,.711,1.111,.368
Apr 10,vs NYY,W 14-1,Did not play
Apr 11,vs NYY,L 10-7,Did not play
Apr 12,vs NYY,W 6-3,Did not play
Apr 13,vs BAL,W 7-3,Did not play
Apr 14,vs BAL,W 10-3,Did not play
Apr 15,vs BAL,W 3-1,Did not play
Apr 17,@ LAA,W 10-1,Did not play
Apr 18,@ LAA,W 9-0,Did not play
Apr 19,@ LAA,W 8-2,Did not play
Apr 20,@ OAK,W 7-3,Did not play
Apr 21,@ OAK,L 3-0,Did not play
Apr 22,@ OAK,L 4-1,Did not play
Apr 24,@ TOR,L 4-3,Did not play
Apr 25,@ TOR,W 4-3,Did not play
Apr 26,@ TOR,W 5-4,Did not play
Apr 27,vs TB,L 4-3,4,0,3,1,0,0,0,0,1,0,0,.432,.738,1.170,.405
Apr 28,vs TB,L 12-6,4,0,1,0,0,0,2,0,1,0,0,.408,.696,1.104,.391
Apr 29,vs TB,W 4-3,Did not play
Apr 30,vs KC,W 10-6,5,1,3,0,0,1,4,0,0,0,0,.426,.745,1.171,.412
May 1,vs KC,L 7-6,5,0,0,0,0,0,0,0,2,0,0,.400,.679,1.079,.375
May 2,vs KC,W 5-4,4,0,1,0,0,0,0,0,1,0,0,.391,.650,1.041,.367
May 3,@ TEX,L 11-5,3,0,1,1,0,0,0,1,0,0,0,.397,.651,1.048,.365
May 4,@ TEX,W 5-1,4,0,0,0,0,0,0,0,1,0,0,.375,.612,.987,.343
May 5,@ TEX,W 6-5,4,0,1,1,0,0,0,0,3,0,0,.368,.606,.974,.338
May 6,@ TEX,W 6-1,4,0,1,0,0,0,1,0,1,0,0,.363,.587,.950,.333
May 8,@ NYY,L 3-2,4,0,0,0,0,0,0,0,1,0,0,.345,.557,.902,.316
May 9,@ NYY,L 9-6,5,2,3,1,0,0,0,0,2,0,0,.360,.571,.931,.333
May 10,@ NYY,W 5-4,4,0,1,0,0,0,0,0,3,0,0,.355,.557,.912,.330
May 11,@ TOR,L 5-3,4,1,1,0,0,1,1,0,0,0,0,.357,.576,.933,.326
May 12,@ TOR,W 5-2,4,1,1,1,0,0,0,0,0,0,0,.353,.573,.926,.323
May 13,@ TOR,W 5-3,4,0,0,0,0,0,1,0,0,0,0,.340,.550,.890,.310
May 14,vs OAK,L 6-5,3,0,0,0,0,0,0,1,0,0,0,.336,.534,.870,.301
May 15,vs OAK,L 5-3,4,0,2,0,0,0,0,0,1,0,0,.342,.533,.875,.308
May 16,vs OAK,W 6-4,4,1,1,0,0,1,3,0,1,0,0,.339,.550,.889,.306
May 17,vs BAL,W 6-2,4,1,2,0,0,1,3,0,1,0,0,.344,.574,.918,.313
May 18,vs BAL,L 7-4,5,1,1,0,0,0,0,0,0,0,1,.339,.558,.897,.308
May 19,vs BAL,W 6-3,3,0,0,0,0,0,0,1,3,0,0,.336,.545,.881,.301
May 20,vs BAL,W 5-0,Did not play
May 22,@ TB,W 4-2,3,0,0,0,0,0,0,0,0,0,0,.333,.532,.865,.294
May 23,@ TB,W 4-1,4,1,1,1,0,0,1,0,2,0,0,.331,.531,.862,.292
May 24,@ TB,L 6-3,3,0,0,0,0,0,0,1,1,0,0,.329,.519,.848,.286
May 25,vs ATL,W 6-2,4,1,1,0,0,1,1,0,0,0,0,.327,.533,.860,.285
May 26,vs ATL,W 8-6,3,1,1,0,0,0,1,2,0,0,0,.336,.529,.865,.286
May 27,vs ATL,L 7-1,3,0,0,0,0,0,0,1,1,0,0,.333,.517,.850,.280
May 28,vs TOR,W 8-3,5,1,1,0,0,0,0,0,2,0,0,.329,.507,.836,.277
May 29,vs TOR,W 8-3,4,2,2,0,0,1,1,1,1,0,0,.337,.526,.863,.283
May 30,vs TOR,W 6-4,4,1,1,0,0,0,0,0,1,0,0,.335,.519,.854,.282
May 31,@ HOU,L 4-2,4,0,1,1,0,0,2,0,0,0,0,.333,.519,.852,.281
Jun 1,@ HOU,L 7-3,4,0,1,0,0,0,0,0,1,0,0,.331,.512,.843,.280
Jun 2,@ HOU,W 5-4,2,1,0,0,0,0,0,2,0,1,0,.335,.506,.841,.277
Jun 3,@ HOU,W 9-3,5,1,2,2,0,0,0,0,0,0,0,.337,.515,.852,.281
Jun 5,vs DET,W 6-0,3,1,1,0,0,1,1,1,2,0,0,.340,.529,.869,.282
Jun 6,vs DET,W 7-1,4,0,3,1,0,0,2,0,1,0,0,.349,.539,.888,.292
Jun 7,vs DET,L 7-2,5,0,0,0,0,0,1,0,1,0,0,.340,.525,.865,.284
Jun 8,vs CHW,L 1-0,4,0,1,0,0,0,0,0,1,0,0,.338,.519,.857,.283
