DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,@ NYM,L 9-4,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Mar 31,@ NYM,L 6-2,Did not play
Apr 1,@ NYM,W 5-1,1,0,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000
Apr 2,@ MIL,W 8-4,1,0,1,0,0,0,0,0,0,0,0,.333,.333,.666,.333
Apr 3,@ MIL,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.250,.250,.500,.250
Apr 4,@ MIL,W 6-0,1,0,0,0,0,0,0,0,1,0,0,.200,.200,.400,.200
Apr 5,vs ARI,L 3-1,3,0,0,0,0,0,0,0,2,0,0,.125,.125,.250,.125
Apr 7,vs ARI,W 5-3,Did not play
Apr 8,vs ARI,L 4-1,Did not play
Apr 9,vs MIL,L 5-4,1,0,0,0,0,0,0,0,1,0,0,.111,.111,.222,.111
Apr 10,vs MIL,W 5-3,3,1,0,0,0,0,1,2,1,0,0,.214,.083,.297,.083
Apr 11,vs MIL,L 3-2,Did not play
Apr 12,@ CIN,W 13-4,Did not play
Apr 13,@ CIN,W 5-3,1,0,1,1,0,0,0,0,0,0,0,.267,.231,.498,.154
Apr 14,@ CIN,W 6-1,4,0,0,0,0,0,0,0,3,0,0,.211,.176,.387,.118
Apr 15,@ CIN,W 3-2,1,0,0,0,0,0,0,0,0,0,0,.200,.167,.367,.111
May 18,vs PHI,W 12-4,Did not play
May 19,vs PHI,L 7-6,1,0,0,0,0,0,0,0,0,0,0,.190,.158,.348,.105
May 20,vs PHI,W 5-1,Did not play
May 21,vs KC,W 6-0,1,0,0,0,0,0,0,0,0,0,0,.182,.150,.332,.100
May 22,vs KC,L 5-1,4,0,4,0,0,0,0,0,0,0,2,.308,.292,.600,.250
May 23,vs KC,L 5-2,4,0,1,0,0,0,0,0,1,0,0,.300,.286,.586,.250
May 25,@ PIT,L 8-1,1,0,0,0,0,0,0,0,0,0,0,.290,.276,.566,.241
May 26,@ PIT,W 4-1,3,1,2,0,0,0,1,1,0,0,0,.343,.313,.656,.281
May 27,@ PIT,W 6-4,3,1,1,0,0,0,1,1,1,0,0,.359,.314,.673,.286
May 28,@ MIL,L 8-3,3,1,1,0,0,1,2,0,2,0,0,.357,.395,.752,.289
May 29,@ MIL,W 6-1,4,1,1,0,0,0,0,0,1,0,0,.348,.381,.729,.286
May 30,@ MIL,L 3-2,4,0,2,0,0,0,0,0,1,1,0,.360,.391,.751,.304
May 31,vs PIT,W 10-8,5,1,2,1,0,1,5,0,0,0,0,.364,.471,.835,.314
Jun 1,vs PIT,L 4-0,3,0,0,0,0,0,0,0,1,0,0,.345,.444,.789,.296
Jun 2,vs PIT,W 3-2,Did not play
Jun 3,vs PIT,W 5-0,3,0,1,0,0,0,1,1,1,0,1,.355,.439,.794,.298
Jun 5,vs MIA,L 7-4,4,0,1,0,0,0,0,0,2,0,0,.348,.426,.774,.295
Jun 6,vs MIA,L 11-3,2,0,0,0,0,0,1,1,0,0,0,.343,.413,.756,.286
Jun 7,vs MIA,W 4-1,4,0,1,0,0,0,0,0,2,0,0,.338,.403,.741,.284
Jun 8,@ CIN,W 7-6,5,1,1,0,0,1,1,0,0,0,0,.329,.431,.760,.278
Jun 9,@ CIN,W 6-4,4,0,0,0,0,0,0,0,1,0,0,.313,.408,.721,.263
Jun 10,@ CIN,L 6-3,2,0,0,0,0,0,0,0,1,0,0,.306,.397,.703,.256
Jun 11,vs SD,W 5-2,4,0,2,0,0,0,0,0,0,1,0,.315,.402,.717,.268
Jun 12,vs SD,L 4-2,3,0,0,0,0,0,0,0,1,0,0,.304,.388,.692,.259
Jun 13,vs SD,L 4-2,4,0,0,0,0,0,0,0,1,0,0,.292,.371,.663,.247
Jun 15,vs CHC,L 13-5,4,1,1,0,0,0,0,0,0,0,0,.290,.366,.656,.247
Jun 16,vs CHC,L 6-3,4,0,3,0,0,0,0,0,0,0,0,.308,.381,.689,.268
Jun 17,vs CHC,W 5-0,3,0,1,0,0,0,0,1,1,0,0,.315,.380,.695,.270
Jun 18,@ PHI,L 6-5,4,0,0,0,0,0,0,0,2,0,0,.304,.365,.669,.260
Jun 19,@ PHI,W 7-6,3,1,2,0,0,0,0,1,0,0,1,.319,.374,.693,.271
Jun 20,@ PHI,L 4-3,0,0,0,0,0,0,0,0,0,0,0,.319,.374,.693,.271
Jun 21,@ MIL,L 11-3,4,0,3,1,0,0,2,0,0,0,0,.333,.396,.729,.288
Jun 22,@ MIL,L 2-1,3,0,0,0,0,0,0,1,2,0,0,.331,.386,.717,.281
Jun 23,@ MIL,W 3-2,4,0,1,0,0,0,0,0,1,1,0,.328,.381,.709,.280
Jun 24,@ MIL,W 8-2,Did not play
Jun 25,vs CLE,W 4-0,Did not play
Jun 26,vs CLE,W 11-2,2,1,1,0,0,0,0,0,0,0,0,.331,.383,.714,.283
Jun 27,vs CLE,L 5-1,1,0,0,0,0,0,0,0,0,0,0,.328,.380,.708,.281
Jun 29,vs ATL,L 5-1,1,0,0,0,0,0,0,0,0,0,0,.326,.377,.703,.279
Jun 30,vs ATL,L 11-4,4,0,1,1,0,0,1,0,2,0,0,.324,.381,.705,.278
Jul 1,vs ATL,L 6-5,1,1,0,0,0,0,0,0,0,0,0,.321,.378,.699,.276
Jul 2,@ ARI,W 6-3,4,0,2,1,0,0,1,0,1,0,0,.326,.389,.715,.282
Jul 3,@ ARI,L 4-2,4,0,1,0,0,0,1,0,3,0,0,.324,.385,.709,.281
Jul 4,@ ARI,W 8-4,4,2,1,0,0,1,1,0,0,0,0,.327,.403,.730,.281
Jul 5,@ SF,W 11-2,5,0,1,0,0,0,0,0,1,0,0,.323,.396,.719,.278
Jul 6,@ SF,L 3-2,Did not play
