DATE,OPP,RESULT,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,OBP,SLG,OPS,AVG
Mar 29,vs SF,L 1-0,3,0,0,0,0,0,0,1,2,1,0,.250,.000,.250,.000
Mar 30,vs SF,L 1-0,3,0,0,0,0,0,0,0,0,0,0,.143,.000,.143,.000
Mar 31,vs SF,W 5-0,3,0,0,0,0,0,1,0,1,0,0,.091,.000,.091,.000
Apr 1,vs SF,W 9-0,4,2,3,1,0,0,1,0,1,0,1,.267,.308,.575,.231
Apr 2,@ ARI,L 8-7,8,0,1,0,0,0,0,0,0,0,0,.217,.238,.455,.190
Apr 3,@ ARI,L 6-1,4,0,1,1,0,0,0,0,0,0,0,.222,.280,.502,.200
Apr 4,@ ARI,L 3-0,3,0,0,0,0,0,0,1,2,0,0,.226,.250,.476,.179
Apr 7,@ SF,L 7-5,6,2,1,0,0,0,0,1,1,0,0,.237,.235,.472,.176
Apr 8,@ SF,W 2-1,5,1,2,0,0,0,0,0,0,0,0,.256,.256,.512,.205
Apr 10,vs OAK,W 4-0,4,0,1,0,0,0,0,0,1,0,0,.255,.256,.511,.209
Apr 11,vs OAK,L 16-6,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.205
Apr 13,vs ARI,L 8-7,2,2,0,0,0,0,0,2,1,0,0,.269,.239,.508,.196
Apr 14,vs ARI,L 9-1,4,1,2,2,0,0,0,0,0,0,0,.286,.300,.586,.220
Apr 15,vs ARI,W 7-2,4,1,1,0,0,0,2,0,1,0,0,.283,.296,.579,.222
Apr 16,@ SD,W 10-3,4,0,0,0,0,0,0,1,1,0,0,.277,.276,.553,.207
Apr 17,@ SD,W 7-3,5,0,1,0,0,0,0,1,1,1,0,.282,.270,.552,.206
Apr 18,@ SD,W 13-4,2,1,1,0,0,0,1,0,0,0,0,.288,.277,.565,.215
Apr 20,vs WSH,L 5-2,4,0,1,0,0,0,1,0,1,0,0,.286,.275,.561,.217
Apr 21,vs WSH,W 4-0,3,0,1,0,0,0,0,0,1,1,0,.288,.278,.566,.222
Apr 22,vs WSH,W 4-3,3,0,0,0,0,0,0,0,2,0,0,.277,.267,.544,.213
Apr 23,vs MIA,W 2-1,3,0,0,0,0,0,0,0,2,0,0,.267,.256,.523,.205
Apr 24,vs MIA,L 3-2,4,0,0,0,0,0,0,0,0,0,0,.256,.244,.500,.195
Apr 25,vs MIA,L 8-6,Did not play
Apr 27,@ SF,L 6-4,4,1,1,1,0,0,1,0,0,1,0,.255,.256,.511,.198
Apr 28,@ SF,W 15-6,2,0,0,0,0,0,0,0,1,0,0,.250,.250,.500,.193
Apr 28,@ SF,L 8-3,Did not play
Apr 29,@ SF,L 4-2,Did not play
Apr 30,@ ARI,L 8-5,Did not play
May 1,@ ARI,L 4-3,Did not play
May 2,@ ARI,W 2-1,Did not play
May 3,@ ARI,W 5-2,Did not play
May 4,@ SD,W 4-0,Did not play
May 5,@ SD,L 7-4,Did not play
May 6,@ SD,L 3-0,Did not play
May 8,vs ARI,L 8-5,Did not play
May 9,vs ARI,W 6-3,4,2,3,0,0,0,0,0,0,0,0,.270,.272,.542,.217
May 10,vs CIN,L 4-1,4,0,0,0,0,0,0,0,2,0,0,.260,.260,.520,.208
May 11,vs CIN,L 6-2,3,0,0,0,0,0,0,0,1,0,0,.252,.253,.505,.202
May 12,vs CIN,L 5-3,1,0,0,0,0,0,0,0,0,0,0,.250,.250,.500,.200
May 13,vs CIN,L 5-3,3,1,1,0,0,1,1,0,1,0,0,.252,.282,.534,.204
May 15,@ MIA,L 4-2,2,1,1,0,0,1,1,2,1,0,0,.270,.314,.584,.210
May 16,@ MIA,L 6-5,4,0,0,0,0,0,0,0,1,0,0,.261,.303,.564,.202
