DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 21,@ TOR,L 4-1,1.0,0,0,0,0,1,0,2,0,13,3,-,-,-,3.45
Jul 15,vs TEX,W 6-5,1.0,1,0,0,0,1,0,2,1,18,4,-,-,Sv(4),3.68
Jul 14,vs TEX,W 1-0,1.0,0,0,0,0,1,2,1,0,15,4,-,-,Sv(3),3.95
Jul 10,vs NYY,W 6-5,1.0,1,0,0,0,0,2,0,1,13,3,-,W(1-0),-,4.26
Jul 9,vs NYY,W 5-4,1.0,1,0,0,0,0,1,3,0,15,4,-,-,Sv(2),4.63
Jul 7,@ MIN,L 5-4,1.0,0,0,0,0,0,1,1,1,11,3,-,-,-,5.06
Jul 4,@ PHI,L 4-1,1.0,0,0,0,0,0,0,3,0,18,3,-,-,-,5.59
Jun 30,vs LAA,L 6-2,1.0,0,0,0,0,1,0,1,2,11,4,-,-,-,6.23
Jun 27,vs SEA,L 8-7,1.0,2,2,2,1,0,1,1,3,16,5,-,-,BlSv(1),7.04
Jun 25,vs SEA,L 5-3,1.0,0,0,0,0,1,0,2,0,13,3,-,-,-,5.40
Jun 23,@ ATL,W 7-5,1.0,0,0,0,0,1,1,2,0,17,4,-,-,Sv(1),6.35
Jun 22,@ ATL,W 10-7,0.1,5,4,4,0,0,0,1,4,16,6,-,-,-,7.71
Jun 20,@ WSH,W 3-0,1.1,0,0,0,0,1,2,1,1,24,5,-,-,H(1),0.00
Jun 17,vs MIA,W 10-4,1.0,1,0,0,0,0,0,3,1,9,4,-,-,-,0.00
Jun 15,vs MIA,L 2-0,1.0,0,0,0,0,0,2,1,0,13,3,-,-,-,0.00
Jun 12,vs BOS,L 6-4,1.0,0,0,0,0,3,1,1,0,26,5,-,-,-,0.00
