DATE,OPPONENT,RESULT,IP,H,R,ER,HR,BB,SO,GB,FB,Pit,BF,GSc,Dec.,Rel.,ERA
Jul 23,vs PIT,L 7-0,2.0,1,0,0,0,0,2,2,2,19,6,-,-,-,5.09
Jul 21,@ TEX,W 16-3,1.0,0,0,0,0,1,0,0,3,14,4,-,-,-,5.35
Jul 20,@ TEX,W 9-8,1.0,3,0,0,0,0,2,2,2,21,6,-,W(1-2),-,5.50
Jul 12,vs NYY,L 7-4,0.1,0,0,0,0,0,0,1,0,3,1,-,-,-,5.65
Jul 8,vs OAK,L 6-0,1.1,2,1,1,0,1,1,1,4,28,7,-,-,-,5.70
Jul 7,vs OAK,L 6-3,1.0,1,0,0,0,0,0,3,1,9,4,-,-,-,5.66
Jul 6,vs OAK,W 10-4,0.2,2,1,1,0,0,0,1,3,14,4,-,-,H(4),5.82
Jul 1,@ OAK,W 15-3,1.0,0,0,0,0,0,0,1,2,14,3,-,-,-,5.67
Jun 29,@ OAK,L 3-1,0.1,2,1,1,1,0,1,1,1,11,3,-,-,-,5.85
Jun 25,@ STL,L 4-0,2.0,3,1,1,0,0,1,4,3,26,8,-,-,-,5.63
Jun 22,vs DET,W 10-0,1.0,1,0,0,0,0,1,2,1,12,4,-,-,-,5.70
Jun 19,vs CHW,W 6-3,0.2,3,2,2,0,0,1,2,3,27,6,-,-,-,5.90
Jun 16,vs MIN,L 9-3,2.1,3,1,1,0,1,1,3,5,34,10,-,-,-,5.40
Jun 12,@ CHW,L 5-1,2.1,0,0,0,0,0,3,2,2,30,7,-,-,-,5.54
Jun 11,@ CHW,W 4-0,0.1,0,0,0,0,0,0,0,1,5,2,-,-,-,6.08
Jun 9,@ DET,L 4-2,1.0,1,0,0,0,0,2,0,2,12,4,-,-,-,6.17
Jun 3,@ MIN,L 7-5,0.2,1,0,0,0,0,0,2,0,9,2,-,-,-,6.45
May 31,@ MIN,W 9-8,0.0,1,1,1,1,0,0,0,1,2,1,-,-,BlSv(1),INF
May 29,vs CHW,W 7-3,1.0,1,1,1,0,1,1,1,2,23,5,-,-,-,6.23
May 27,vs HOU,W 10-9,2.0,0,0,0,0,0,1,3,2,23,6,-,-,-,6.10
May 26,vs HOU,W 8-6,1.1,1,1,1,0,0,0,2,3,26,5,-,-,H(3),6.75
May 24,vs HOU,L 8-2,1.0,1,0,0,0,0,3,0,1,13,4,-,-,-,6.75
May 18,@ HOU,L 4-1,0.2,0,0,0,0,0,0,0,2,8,2,-,-,-,7.16
May 14,@ DET,L 6-3,1.0,1,1,1,1,1,2,0,2,25,5,-,-,-,7.47
May 11,vs KC,L 10-9,2.1,0,0,0,0,0,2,4,1,15,7,-,-,-,7.36
May 8,@ MIL,L 3-2,0.1,0,0,0,0,0,1,0,0,15,1,-,-,-,8.76
May 3,vs TOR,L 13-11,1.2,3,1,1,0,2,2,2,3,45,9,-,-,-,9.00
May 1,vs TEX,L 8-6,0.2,1,0,0,0,0,2,1,0,11,3,-,-,-,9.58
Apr 29,vs SEA,L 10-4,1.0,1,1,1,1,0,1,1,2,15,4,-,-,-,10.24
Apr 28,vs SEA,L 12-4,1.0,4,5,4,1,0,1,2,4,28,8,-,-,-,10.38
Apr 26,vs SEA,L 5-4,1.0,0,0,0,0,0,0,1,2,6,3,-,-,-,7.04
Apr 24,vs CHC,L 10-3,1.0,5,3,3,0,0,0,6,2,30,8,-,-,-,8.10
Apr 20,@ BAL,L 3-1,1.0,1,0,0,0,0,0,1,3,28,4,-,-,-,4.76
Apr 18,@ MIN,L 2-1,0.2,0,0,0,0,0,0,1,1,3,2,-,-,-,5.79
Apr 13,vs TOR,L 8-4,0.1,0,1,0,0,1,0,1,0,9,2,-,L(0-2),-,6.75
Apr 10,vs DET,W 2-1,1.0,0,0,0,0,0,0,1,2,11,3,-,-,H(2),7.36
Apr 4,@ LAA,L 3-2,0.1,1,1,1,1,0,1,0,1,14,2,-,L(0-1),-,10.13
Apr 3,@ LAA,L 13-2,1.0,2,2,2,1,1,1,1,2,22,5,-,-,-,7.71
Apr 2,@ LAA,W 6-0,0.1,0,0,0,0,0,0,0,1,3,1,-,-,-,0.00
Mar 31,@ SEA,W 6-5,1.0,0,0,0,0,0,0,0,3,8,3,-,-,H(1),0.00
