Alex Bregman,5600,HOU,3B,TEX,,0.777,9.86
George Springer,5200,HOU,OF,TEX,,0.768,9.73
Adrian Beltre,3000,TEX,3B,HOU,,0.999,5.8
Yulieski Gurriel,3900,HOU,1B,TEX,,0.736,7.49
Evan Gattis,4000,HOU,C,TEX,,0.999,7.23
Max Stassi,3300,HOU,C,TEX,,0.999,6.16
Carlos Tocci,2800,TEX,OF,HOU,,0.999,4.49
Elvis Andrus,3700,TEX,SS,HOU,,0.999,6.31
Kyle Tucker,3900,HOU,OF,TEX,,0.999,5.28
Rougned Odor,3700,TEX,2B,HOU,,0.999,7.1
Shin-Soo Choo,4000,TEX,OF,HOU,,0.999,6.9
Joey Gallo,3800,TEX,1B/OF,HOU,,0.999,6.67
Josh Reddick,3900,HOU,OF,TEX,,0.999,8.41
Ronald Guzman,3100,TEX,1B,HOU,,0.999,4.02
Marwin Gonzalez,3400,HOU,OF/SS,TEX,,0.999,6.45
Willie Calhoun,3300,TEX,OF,HOU,,0.999,5.49
Isiah Kiner-Falefa,2900,TEX,2B/3B,HOU,,0.999,5.97
Miguel Rojas,3200,MIA,3B/SS,WAS,,0.999,7.13
Cameron Maybin,3800,MIA,OF,WAS,,0.999,5.69
J.T. Realmuto,4900,MIA,C,WAS,,0.728,6.65
Brian Anderson,4200,MIA,3B/OF,WAS,,0.722,7.97
Bryan Holaday,2800,MIA,C,WAS,,0,4.34
Yadiel Rivera,2800,MIA,3B/SS,WAS,,0.699,4.8
J.T. Riddle,2900,MIA,SS,WAS,,0.999,5.24
Starlin Castro,3900,MIA,2B,WAS,,0.747,7.49
Mark Reynolds,4300,WAS,1B,MIA,,0.999,6.45
Bryce Harper,5000,WAS,OF,MIA,,0.753,9.56
J.D. Davis,4000,HOU,1B/OF,TEX,,0,6.9
Daniel Murphy,4100,WAS,1B/2B,MIA,,0.999,6.77
Juan Soto,4700,WAS,OF,MIA,,0.75,7.46
Ryan Zimmerman,3700,WAS,1B,MIA,,0.808,7.18
Trea Turner,4500,WAS,SS,MIA,,0.786,9.09
Robbie Grossman,3900,MIN,OF,BOS,,0.744,7.55
Eduardo Nunez,3200,BOS,2B/3B,MIN,,0.759,6.64
Tim Anderson,4200,CHW,SS,TOR,,0.752,6.95
Avisail Garcia,4500,CHW,OF,TOR,,0.748,8.11
Jose Abreu,4300,CHW,1B,TOR,,0.771,9.07
Lourdes Gurriel,3900,TOR,2B/SS,CHW,,0.999,8.21
Leury Garcia,3900,CHW,OF,TOR,,0,5.72
Matt Davidson,4000,CHW,1B/3B,TOR,,0,7.5
Kevan Smith,2900,CHW,C,TOR,,0,5.74
Randal Grichuk,4300,TOR,OF,CHW,,0.999,7
Russell Martin,3300,TOR,C,CHW,,0.999,6.15
Yangervis Solarte,3800,TOR,2B/3B,CHW,,0.999,7.3
Kendrys Morales,4100,TOR,1B,CHW,,0.768,8.32
Yoan Moncada,4400,CHW,2B,TOR,,0.762,8.56
Yolmer Sanchez,3700,CHW,3B,TOR,,0.741,7.47
Teoscar Hernandez,4300,TOR,OF,CHW,,0.999,7.91
Nicky Delmonico,3700,CHW,OF,TOR,,0.999,6.72
Brandon Drury,3600,TOR,2B/3B,CHW,,0,7.4
Joe Mauer,4300,MIN,1B,BOS,,0.74,7.5
Miguel Sano,3500,MIN,1B/3B,BOS,,0.729,6.66
Brian Dozier,4500,MIN,2B,BOS,,0.746,7.95
Jake Cave,3500,MIN,OF,BOS,,0.999,6.64
Mookie Betts,6000,BOS,OF,MIN,,0.791,9.97
J.D. Martinez,5700,BOS,OF,MIN,,0.784,9.8
Mitch Garver,3800,MIN,C,BOS,,0.999,5.65
Xander Bogaerts,5000,BOS,SS,MIN,,0.761,8.8
Jackie Bradley,4100,BOS,OF,MIN,,0.999,6.43
Sandy Leon,3100,BOS,C,MIN,,0.999,6.26
Logan Morrison,3900,MIN,1B,BOS,,0.999,7.87
Eddie Rosario,5500,MIN,OF,BOS,,0.757,8.21
Jorge Polanco,4100,MIN,SS,BOS,,0.999,7.64
Andrew Benintendi,5800,BOS,OF,MIN,,0.771,9.82
Rafael Devers,3800,BOS,3B,MIN,,0.999,6.24
Mitch Moreland,4300,BOS,1B,MIN,,0.999,7.67
Matt Wieters,3100,WAS,C,MIA,,0,6.92
Michael Taylor,3600,WAS,OF,MIA,,0,7.24
Buster Posey,3500,SFG,C,MIL,,0.999,8.02
Andrew McCutchen,3900,SFG,OF,MIL,,0.999,7.32
Orlando Arcia,2700,MIL,SS,SFG,,0.999,5.42
