"Adam Duvall","Alen Hanson","Carlos Gonzalez","Curt Casali","Eugenio Suarez","Jesse Winker","Joey Votto","Trevor Story","Anthony DeSclafani","Zack Greinke","CIN","SFG","COL","CIN","CIN","CIN","CIN","COL","CIN","ARI"
"Adam Duvall","Adam Jones","Curt Casali","Jesse Winker","Joey Votto","Manny Machado","Scooter Gennett","Tim Beckham","Anthony DeSclafani","Clayton Kershaw","CIN","BAL","CIN","CIN","CIN","BAL","CIN","BAL","CIN","LAD"
"Alex Bregman","Carlos Gonzalez","Evan Gattis","George Springer","Jose Altuve","Nick Williams","Scott Kingery","Yuli Gurriel","Anthony DeSclafani","Zack Greinke","HOU","COL","HOU","HOU","HOU","PHI","PHI","HOU","CIN","ARI"
"Eugenio Suarez","Evan Gattis","Jesse Winker","Joey Votto","Jose Peraza","Josh Reddick","Ryan Rua","Scooter Gennett","Anthony DeSclafani","Zack Greinke","CIN","HOU","CIN","CIN","CIN","HOU","TEX","CIN","CIN","ARI"
"Adam Duvall","Carlos Gonzalez","Evan Gattis","Jose Altuve","Josh Reddick","Nolan Arenado","Trevor Story","Yuli Gurriel","Anthony DeSclafani","Zach Eflin","CIN","COL","HOU","HOU","HOU","COL","COL","HOU","CIN","PHI"
"Adam Duvall","Daniel Palka","Elvis Andrus","Eugenio Suarez","Jesse Winker","Joey Votto","Kevan Smith","Scooter Gennett","Zach Eflin","Zack Greinke","CIN","CHW","TEX","CIN","CIN","CIN","CHW","CIN","PHI","ARI"
"Adam Jones","Evan Gattis","Jose Altuve","Josh Reddick","Manny Machado","Mike Trout","Tim Beckham","Yuli Gurriel","Anthony DeSclafani","Zack Greinke","BAL","HOU","HOU","HOU","BAL","LAA","BAL","HOU","CIN","ARI"
"Adam Duvall","Carlos Gonzalez","Charlie Blackmon","Chris Davis","Curt Casali","DJ LeMahieu","Nolan Arenado","Trevor Story","Anthony DeSclafani","Trevor Richards","CIN","COL","COL","BAL","CIN","COL","COL","COL","CIN","MIA"
"Adrian Beltre","Elvis Andrus","Evan Gattis","George Springer","Jose Altuve","Josh Reddick","Ryan Rua","Yuli Gurriel","Anthony DeSclafani","Clayton Kershaw","TEX","TEX","HOU","HOU","HOU","HOU","TEX","HOU","CIN","LAD"
"Adam Duvall","Carlos Santana","Curt Casali","Eugenio Suarez","Jesse Winker","Jose Altuve","Nick Williams","Scott Kingery","Anthony DeSclafani","Clayton Kershaw","CIN","PHI","CIN","CIN","CIN","HOU","PHI","PHI","CIN","LAD"
"Adam Duvall","Alex Bregman","Curt Casali","George Springer","Jesse Winker","Joey Votto","Jose Altuve","Jose Peraza","Anthony DeSclafani","Zach Eflin","CIN","HOU","CIN","HOU","CIN","CIN","HOU","CIN","CIN","PHI"
"Adam Duvall","Brandon Belt","Brandon Crawford","Curt Casali","Eugenio Suarez","Hunter Pence","Jesse Winker","Scooter Gennett","Anthony DeSclafani","Zach Eflin","CIN","SFG","SFG","CIN","CIN","SFG","CIN","CIN","CIN","PHI"
"Andrew Knapp","Carlos Gonzalez","Charlie Blackmon","DJ LeMahieu","Eric Hosmer","Nick Williams","Nolan Arenado","Scott Kingery","Anthony DeSclafani","Zack Greinke","PHI","COL","COL","COL","SDP","PHI","COL","PHI","CIN","ARI"
"Adam Duvall","Elvis Andrus","Eugenio Suarez","Evan Gattis","Jesse Winker","Jose Altuve","Josh Reddick","Yuli Gurriel","Trevor Richards","Zack Greinke","CIN","TEX","CIN","HOU","CIN","HOU","HOU","HOU","MIA","ARI"
"Alen Hanson","Brandon Guyer","Carlos Gonzalez","Charlie Blackmon","Nolan Arenado","Trevor Story","Yan Gomes","Yonder Alonso","Anthony DeSclafani","Zach Eflin","SFG","CLE","COL","COL","COL","COL","CLE","CLE","CIN","PHI"
"Albert Pujols","Alen Hanson","Andrelton Simmons","David Fletcher","Evan Gattis","Josh Reddick","Justin Upton","Mike Trout","Anthony DeSclafani","Zack Greinke","LAA","SFG","LAA","LAA","HOU","HOU","LAA","LAA","CIN","ARI"
"Adam Duvall","Andrew Knapp","Eugenio Suarez","Joey Votto","Nick Williams","Odubel Herrera","Scooter Gennett","Scott Kingery","Anthony DeSclafani","Zack Greinke","CIN","PHI","CIN","CIN","PHI","PHI","CIN","PHI","CIN","ARI"
"Alen Hanson","Carlos Gonzalez","Justin Smoak","Kevin Pillar","Nolan Arenado","Randal Grichuk","Russell Martin","Trevor Story","Anthony DeSclafani","Zack Greinke","SFG","COL","TOR","TOR","COL","TOR","TOR","COL","CIN","ARI"
"Adam Jones","Avisail Garcia","Chris Davis","Daniel Palka","Jonathan Schoop","Kevan Smith","Manny Machado","Tim Beckham","Clayton Kershaw","Zack Greinke","BAL","CHW","BAL","CHW","BAL","CHW","BAL","BAL","LAD","ARI"
"Adam Duvall","Alen Hanson","Avisail Garcia","Brandon Belt","Daniel Palka","Kevan Smith","Tim Anderson","Yolmer Sanchez","Zach Eflin","Zack Greinke","CIN","SFG","CHW","SFG","CHW","CHW","CHW","CHW","PHI","ARI"
"Adam Jones","Alex Bregman","Chris Davis","George Springer","Jose Altuve","Manny Machado","Max Stassi","Tony Kemp","Anthony DeSclafani","Zack Greinke","BAL","HOU","BAL","HOU","HOU","BAL","HOU","HOU","CIN","ARI"
"Adam Duvall","Charlie Blackmon","Curt Casali","DJ LeMahieu","Eugenio Suarez","Jesse Winker","Joey Votto","Scott Kingery","Trevor Richards","Zach Eflin","CIN","COL","CIN","COL","CIN","CIN","CIN","PHI","MIA","PHI"
"Carlos Gonzalez","Charlie Blackmon","Curt Casali","Jesse Winker","Joey Votto","Jose Peraza","Nolan Arenado","Scooter Gennett","Anthony DeSclafani","Danny Duffy","COL","COL","CIN","CIN","CIN","CIN","COL","CIN","CIN","KCR"
"Adam Duvall","Carlos Gonzalez","Gerardo Parra","Jake Bauers","Joey Wendle","Nolan Arenado","Trevor Story","Wilson Ramos","Anthony DeSclafani","Zack Greinke","CIN","COL","COL","TBR","TBR","COL","COL","TBR","CIN","ARI"
"Alen Hanson","Carlos Santana","Chance Sisco","Nick Williams","Odubel Herrera","Rhys Hoskins","Scott Kingery","Tim Beckham","Anthony DeSclafani","Clayton Kershaw","SFG","PHI","BAL","PHI","PHI","PHI","PHI","BAL","CIN","LAD"
"Adam Duvall","Eugenio Suarez","Jesse Winker","Joey Votto","Josh Reddick","Max Stassi","Scooter Gennett","Scott Kingery","Chris Bassitt","Clayton Kershaw","CIN","CIN","CIN","CIN","HOU","HOU","CIN","PHI","OAK","LAD"
"Adam Duvall","Elvis Andrus","Eugenio Suarez","Jesse Winker","Joey Votto","Robinson Chirinos","Rougned Odor","Ryan Rua","Anthony DeSclafani","Clayton Kershaw","CIN","TEX","CIN","CIN","CIN","TEX","TEX","TEX","CIN","LAD"
"Adam Duvall","Chris Young","David Fletcher","Joey Votto","Jose Peraza","Martin Maldonado","Mike Trout","Scooter Gennett","Anthony DeSclafani","Zack Greinke","CIN","LAA","LAA","CIN","CIN","LAA","LAA","CIN","CIN","ARI"
"Adam Duvall","Eugenio Suarez","Jean Segura","Jesse Winker","Joey Votto","Mike Zunino","Nelson Cruz","Scooter Gennett","Anthony DeSclafani","Trevor Richards","CIN","CIN","SEA","CIN","CIN","SEA","SEA","CIN","CIN","MIA"
"Aaron Hicks","Alen Hanson","Didi Gregorius","Evan Gattis","Giancarlo Stanton","Josh Reddick","Miguel Andujar","Yuli Gurriel","Anthony DeSclafani","Zack Greinke","NYY","SFG","NYY","HOU","NYY","HOU","NYY","HOU","CIN","ARI"
"Adam Duvall","Carlos Gonzalez","Eugenio Suarez","Gerardo Parra","Joey Votto","Jose Peraza","Scooter Gennett","Tony Wolters","Anthony DeSclafani","Zach Eflin","CIN","COL","CIN","COL","CIN","CIN","CIN","COL","CIN","PHI"
"Carlos Gonzalez","Charlie Blackmon","Chris Davis","Gerardo Parra","Jonathan Schoop","Kevan Smith","Nolan Arenado","Trevor Story","Zack Greinke","Zack Wheeler","COL","COL","BAL","COL","BAL","CHW","COL","COL","ARI","NYM"
"Alex Bregman","Billy Hamilton","Curt Casali","George Springer","Jose Peraza","Scooter Gennett","Tony Kemp","Yuli Gurriel","Anthony DeSclafani","Zack Greinke","HOU","CIN","CIN","HOU","CIN","CIN","HOU","HOU","CIN","ARI"
"Adeiny Hechavarria","Alex Bregman","Avisail Garcia","Daniel Palka","Evan Gattis","Jose Altuve","Josh Reddick","Yuli Gurriel","Zach Eflin","Zack Greinke","TBR","HOU","CHW","CHW","HOU","HOU","HOU","HOU","PHI","ARI"
"Alen Hanson","Andrew Knapp","Brandon Belt","Gorkys Hernandez","Hunter Pence","Maikel Franco","Nick Williams","Scott Kingery","Anthony DeSclafani","Clayton Kershaw","SFG","PHI","SFG","SFG","SFG","PHI","PHI","PHI","CIN","LAD"
"Adam Duvall","Albert Pujols","Andrelton Simmons","Curt Casali","Eugenio Suarez","Ian Kinsler","Jesse Winker","Mike Trout","Zach Eflin","Zack Greinke","CIN","LAA","LAA","CIN","CIN","LAA","CIN","LAA","PHI","ARI"
"Alen Hanson","Andrew Knapp","Carlos Santana","David Fletcher","Mike Trout","Nick Williams","Odubel Herrera","Scott Kingery","Zach Eflin","Zack Greinke","SFG","PHI","PHI","LAA","LAA","PHI","PHI","PHI","PHI","ARI"
"Adam Duvall","Avisail Garcia","Curt Casali","Jesse Winker","Joey Votto","Jose Peraza","Yoan Moncada","Yolmer Sanchez","Trevor Richards","Zack Greinke","CIN","CHW","CIN","CIN","CIN","CIN","CHW","CHW","MIA","ARI"
"Adrian Beltre","Carlos Santana","Cesar Hernandez","Elvis Andrus","Evan Gattis","Nick Williams","Odubel Herrera","Rhys Hoskins","Anthony DeSclafani","Zack Greinke","TEX","PHI","PHI","TEX","HOU","PHI","PHI","PHI","CIN","ARI"
"Carlos Gonzalez","Charlie Blackmon","Chris Young","Ian Kinsler","Lucas Duda","Martin Maldonado","Nolan Arenado","Trevor Story","Anthony DeSclafani","Zack Greinke","COL","COL","LAA","LAA","KCR","LAA","COL","COL","CIN","ARI"
"Adrian Beltre","Alen Hanson","Brandon Belt","Delino DeShields","Elvis Andrus","Evan Gattis","Nomar Mazara","Shin-soo Choo","Anthony DeSclafani","Zack Greinke","TEX","SFG","SFG","TEX","TEX","HOU","TEX","TEX","CIN","ARI"
"Adam Duvall","Adeiny Hechavarria","Billy Hamilton","Curt Casali","Eugenio Suarez","Jake Bauers","Jesse Winker","Joey Wendle","Clayton Kershaw","Zack Greinke","CIN","TBR","CIN","CIN","CIN","TBR","CIN","TBR","LAD","ARI"
"Adam Duvall","Adrian Beltre","Curt Casali","Elvis Andrus","Nomar Mazara","Rougned Odor","Ryan Rua","Yuli Gurriel","Clayton Kershaw","Zack Greinke","CIN","TEX","CIN","TEX","TEX","TEX","TEX","HOU","LAD","ARI"
"Austin Hedges","Carlos Gonzalez","Eric Hosmer","Jose Altuve","Manuel Margot","Nolan Arenado","Travis Jankowski","Trevor Story","Anthony DeSclafani","Zack Greinke","SDP","COL","SDP","HOU","SDP","COL","SDP","COL","CIN","ARI"
"Adam Duvall","Billy Hamilton","Curt Casali","Jake Bauers","Jose Peraza","Kevin Kiermaier","Matt Duffy","Scooter Gennett","Anthony DeSclafani","Clayton Kershaw","CIN","CIN","CIN","TBR","CIN","TBR","TBR","CIN","CIN","LAD"
"Adam Duvall","Curt Casali","Daniel Palka","Eugenio Suarez","Jesse Winker","Joey Votto","Jonathan Schoop","Tim Anderson","Clayton Kershaw","Zack Wheeler","CIN","CIN","CHW","CIN","CIN","CIN","BAL","CHW","LAD","NYM"
"Carlos Gonzalez","Charlie Blackmon","DJ LeMahieu","Evan Gattis","Nolan Arenado","Ryan Rua","Trevor Story","Yuli Gurriel","Antonio Senzatela","Zack Greinke","COL","COL","COL","HOU","COL","TEX","COL","HOU","COL","ARI"
"Andrew Knapp","Carlos Santana","Curtis Granderson","Devon Travis","Nick Williams","Scott Kingery","Teoscar Hernandez","Tim Beckham","Clayton Kershaw","Zack Greinke","PHI","PHI","TOR","TOR","PHI","PHI","TOR","BAL","LAD","ARI"
"Billy Hamilton","Joey Votto","Jose Peraza","Kevin Pillar","Randal Grichuk","Russell Martin","Scooter Gennett","Tim Beckham","Anthony DeSclafani","Clayton Kershaw","CIN","CIN","CIN","TOR","TOR","TOR","CIN","BAL","CIN","LAD"
"Aaron Judge","Brett Gardner","Chance Sisco","Chris Davis","Giancarlo Stanton","Jonathan Schoop","Manny Machado","Tim Beckham","Anthony DeSclafani","Clayton Kershaw","NYY","NYY","BAL","BAL","NYY","BAL","BAL","BAL","CIN","LAD"
"Carlos Gonzalez","Charlie Blackmon","Jake Bauers","Joey Wendle","Kevin Kiermaier","Matt Duffy","Scott Kingery","Wilson Ramos","Anthony DeSclafani","Clayton Kershaw","COL","COL","TBR","TBR","TBR","TBR","PHI","TBR","CIN","LAD"
"Alex Bregman","Brandon Crawford","Charlie Blackmon","Evan Gattis","Hunter Pence","Jose Altuve","Josh Reddick","Yuli Gurriel","Anthony DeSclafani","Marco Estrada","HOU","SFG","COL","HOU","SFG","HOU","HOU","HOU","CIN","TOR"
"Alen Hanson","Brandon Belt","Carlos Gonzalez","Gerardo Parra","Gorkys Hernandez","Nolan Arenado","Tony Wolters","Trevor Story","Anthony DeSclafani","Zack Wheeler","SFG","SFG","COL","COL","SFG","COL","COL","COL","CIN","NYM"
