"Dee Gordon","Kyle Seager","Nelson Cruz","Mike Zunino","Charlie Blackmon","Noel Cuevas","Trevor Story","Ian Desmond","Gio Gonzalez","Vincent Velasquez"
"Charlie Blackmon","Noel Cuevas","Trevor Story","Nolan Arenado","Adam Frazier","Jose Osuna","Jordan Luplow","Francisco Cervelli","Justin Verlander","Ariel Jurado"
"Dee Gordon","Kyle Seager","Nelson Cruz","Mike Zunino","Ryon Healy","Nick Martini","Khris Davis","Marcus Semien","Justin Verlander","Ariel Jurado"
"Kyle Seager","Jean Segura","Nelson Cruz","Mike Zunino","Charlie Blackmon","Carlos Gonzalez","Patrick Valaika","Noel Cuevas","Justin Verlander","Ariel Jurado"
"Buster Posey","Andrew McCutchen","Alen Hanson","Charlie Blackmon","Noel Cuevas","Trevor Story","Nolan Arenado","Ian Desmond","Ariel Jurado","Rick Porcello"
"Charlie Blackmon","Noel Cuevas","Nolan Arenado","Ian Desmond","Manuel Margot","Jose Pirela","Austin Hedges","Freddy Galvis","Justin Verlander","Ariel Jurado"
"Teoscar Hernandez","Dee Gordon","Kyle Seager","Jean Segura","Nelson Cruz","Mike Zunino","Justin Smoak","Curtis Granderson","Justin Verlander","Lucas Giolito"
"Dee Gordon","Kyle Seager","Nelson Cruz","Mike Zunino","Brandon Guyer","Edwin Encarnacion","Rajai Davis","Francisco Lindor","Justin Verlander","Matt Harvey"
"Dee Gordon","Kyle Seager","Mike Zunino","Shane Robinson","Aaron Hicks","Didi Gregorius","Gregory Bird","Giancarlo Stanton","Justin Verlander","Ariel Jurado"
"Charlie Blackmon","Noel Cuevas","Trevor Story","Nolan Arenado","Ian Desmond","Whit Merrifield","Salvador Perez","Rosell Herrera","Jake Odorizzi","Vincent Velasquez"
"Lourdes Gurriel","Russell Martin","Teoscar Hernandez","Charlie Blackmon","Noel Cuevas","Nolan Arenado","Ian Desmond","Curtis Granderson","Ariel Jurado","Patrick Corbin"
"Charlie Blackmon","Patrick Valaika","Noel Cuevas","Trevor Story","Nolan Arenado","Roberto Perez","Brandon Guyer","Rajai Davis","Ariel Jurado","Luis Severino"
"Charlie Blackmon","Patrick Valaika","Noel Cuevas","Nolan Arenado","Jose Peraza","Adam Duvall","Mason Williams","Tucker Barnhart","Justin Verlander","Ariel Jurado"
"Tom Murphy","Charlie Blackmon","Nolan Arenado","Ian Desmond","Rosell Herrera","Whit Merrifield","Rosell Herrera","Alcides Escobar","Justin Verlander","Ariel Jurado"
"Bryce Harper","Trea Turner","Teoscar Hernandez","Brandon Drury","Matt Wieters","Michael Taylor","Justin Smoak","Curtis Granderson","Justin Verlander","Ariel Jurado"
"Dee Gordon","Kyle Seager","Jean Segura","Mike Zunino","David Peralta","Jon Jay","A.J. Pollock","Paul Goldschmidt","Justin Verlander","Ariel Jurado"
"Matt Olson","Nick Martini","Marcus Semien","Matt Chapman","Whit Merrifield","Salvador Perez","Rosell Herrera","Jorge Bonifacio","Justin Verlander","Ariel Jurado"
"Charlie Blackmon","Patrick Valaika","Nick Martini","Noel Cuevas","Trevor Story","Khris Davis","Nolan Arenado","Josh Phegley","Rick Porcello","Lucas Giolito"
"Kyle Seager","Jean Segura","Nelson Cruz","Mike Zunino","Ryon Healy","Rosell Herrera","Whit Merrifield","Rosell Herrera","Gio Gonzalez","Justin Verlander"
"Bryce Harper","Trea Turner","Matt Wieters","Michael Taylor","Charlie Blackmon","Patrick Valaika","Noel Cuevas","Nolan Arenado","Gio Gonzalez","Rick Porcello"
